Δt (hr),p̄ws (psia)
353.0,2605.93
354.0,2605.93
355.0,2605.93
356.0,2605.93
357.0,2605.93
358.0,2605.93
359.0,2605.93
360.0,2605.93
361.0,2605.93
362.0,2605.93
363.0,2605.93
364.0,2605.93
365.0,2605.93
366.0,2605.93
367.0,2605.93
368.0,2605.93
369.0,2605.93
370.0,2605.93
371.0,2605.93
372.0,2605.93
373.0,2605.93
374.0,2605.93
375.0,2605.93
376.0,2605.93
377.0,2605.93
378.0,2605.93
379.0,2605.93
380.0,2605.93
381.0,2605.93
382.0,2605.93
383.0,2605.93
384.0,2605.93
385.0,2605.93
386.0,2605.93
387.0,2605.93
388.0,2605.93
389.0,2605.93
390.0,2605.93
391.0,2605.93
392.0,2605.93
393.0,2605.93
394.0,2605.93
395.0,2605.93
396.0,2605.93
397.0,2605.93
398.0,2605.93
399.0,2605.93
400.0,2605.93
401.0,2605.93
402.0,2605.93
403.0,2605.93
404.0,2605.93
405.0,2605.93
406.0,2605.93
407.0,2605.93
408.0,2605.93
409.0,2605.93
410.0,2605.93
411.0,2605.93
412.0,2605.93
413.0,2605.93
414.0,2605.93
415.0,2605.93
416.0,2605.93
417.0,2605.93
418.0,2605.93
419.0,2605.93
420.0,2605.93
421.0,2605.93
422.0,2605.93
423.0,2605.93
424.0,2605.93
425.0,2605.93
426.0,2605.93
427.0,2605.93
428.0,2605.93
429.0,2605.93
430.0,2605.93
431.0,2605.93
432.0,2605.93
433.0,2605.93
434.0,2605.93
435.0,2605.93
436.0,2605.93
437.0,2605.93
438.0,2605.93
439.0,2605.93
440.0,2605.93
441.0,2605.93
442.0,2605.93
443.0,2605.93
444.0,2605.93
445.0,2605.93
446.0,2605.93
447.0,2605.93
448.0,2605.93
449.0,2605.93
450.0,2605.93
451.0,2605.93
452.0,2605.93
453.0,2605.93
454.0,2605.93
455.0,2605.93
456.0,2605.93
457.0,2605.93
458.0,2605.93
459.0,2605.93
460.0,2605.93
461.0,2605.93
462.0,2605.93
463.0,2605.93
464.0,2605.93
465.0,2605.93
466.0,2605.93
467.0,2605.93
468.0,2605.93
469.0,2605.93
470.0,2605.93
471.0,2605.93
472.0,2605.93
473.0,2605.93
474.0,2605.93
475.0,2605.93
476.0,2605.93
477.0,2605.93
478.0,2605.93
479.0,2605.93
480.0,2605.93
481.0,2605.93
482.0,2605.93
483.0,2605.93
484.0,2605.93
485.0,2605.93
486.0,2605.93
487.0,2605.93
488.0,2605.93
489.0,2605.93
490.0,2605.93
491.0,2605.93
492.0,2605.93
493.0,2605.93
494.0,2605.93
495.0,2605.93
496.0,2605.93
497.0,2605.93
498.0,2605.93
499.0,2605.93
500.0,2605.93
501.0,2605.93
502.0,2605.93
503.0,2605.93
504.0,2605.93
505.0,2605.93
506.0,2605.93
507.0,2605.93
508.0,2605.93
509.0,2605.93
510.0,2605.93
511.0,2605.93
512.0,2605.93
513.0,2605.93
514.0,2605.93
515.0,2605.93
516.0,2605.93
517.0,2605.93
518.0,2605.93
519.0,2605.93
520.0,2605.93
521.0,2605.93
522.0,2605.93
523.0,2605.93
524.0,2605.93
525.0,2605.93
526.0,2605.93
527.0,2605.93
528.0,2605.93
529.0,2605.93
530.0,2605.93
531.0,2605.93
532.0,2605.93
533.0,2605.93
534.0,2605.93
535.0,2605.93
536.0,2605.93
537.0,2605.93
538.0,2605.93
539.0,2605.93
540.0,2605.93
541.0,2605.93
542.0,2605.93
543.0,2605.93
544.0,2605.93
